OR,4217737,39.6,3,18
OR,4217737,39.6,4,85
OR,4217737,39.6,5,50
OR,4217737,39.6,6,54
OR,4217737,39.6,7,114
PA,12801989,40.8,3,63
PA,12801989,40.8,4,2227
PA,12801989,40.8,5,3246
PA,12801989,40.8,6,1112
PA,12801989,40.8,7,541
RI,1059361,40.1,3,8
RI,1059361,40.1,4,258
RI,1059361,40.1,5,454
RI,1059361,40.1,6,230
RI,1059361,40.1,7,43
SC,5148714,39.9,3,22
SC,5148714,39.9,4,222
SC,5148714,39.9,5,250
SC,5148714,39.9,6,241
SC,5148714,39.9,7,911
SD,884659,37.4,3,1
SD,884659,37.4,4,16
SD,884659,37.4,5,43
SD,884659,37.4,6,31
SD,884659,37.4,7,39
TN,6829174,39.0,3,22
TN,6829174,39.0,4,177
TN,6829174,39.0,5,165
TN,6829174,39.0,6,233
TN,6829174,39.0,7,463
TX,28995881,35.0,3,50
TX,28995881,35.0,4,730
TX,28995881,35.0,5,874
TX,28995881,35.0,6,725
TX,28995881,35.0,7,4188
UT,3205958,31.3,3,4
UT,3205958,31.3,4,42
UT,3205958,31.3,5,62
UT,3205958,31.3,6,64
UT,3205958,31.3,7,131
VT,623989,43.0,3,12
VT,623989,43.0,4,36
VT,623989,43.0,5,7
VT,623989,43.0,6,1
VT,623989,43.0,7,1
VA,8535519,38.6,3,27
VA,8535519,38.6,4,525
VA,8535519,38.6,5,814
VA,8535519,38.6,6,389
VA,8535519,38.6,7,411
WA,7614893,37.8,3,221
WA,7614893,37.8,4,591
WA,7614893,37.8,5,305
WA,7614893,37.8,6,212
WA,7614893,37.8,7,232
WV,1792147,42.9,3,1
WV,1792147,42.9,4,43
WV,1792147,42.9,5,29
WV,1792147,42.9,6,20
WV,1792147,42.9,7,23
WI,5822434,39.8,3,16
WI,5822434,39.8,4,300
WI,5822434,39.8,5,276
WI,5822434,39.8,6,192
WI,5822434,39.8,7,149
WY,578759,38.4,3,0
WY,578759,38.4,4,7
WY,578759,38.4,5,8
WY,578759,38.4,6,5
WY,578759,38.4,7,5
